SC3.SC3_0,SC3.SC3_0.005,SC3.SC3_0.01,SC3.SC3_0.015,SC3.SC3_0.02,SC3.SC3_0.025,SC3.SC3_0.03,SC3.SC3_0.035,SC3.SC3_0.04,SC3.SC3_0.045,SC3.SC3_0.05,SC3.SC3_0.055,SC3.SC3_0.06,SC3.SC3_0.065,SC3.SC3_0.07,SC3.SC3_0.075,SC3.SC3_0.08,SC3.SC3_0.085,SC3.SC3_0.09,SC3.SC3_0.095,SC3.SC3_0.1,SC3.SC3_0.105,SC3.SC3_0.11,SC3.SC3_0.115,SC3.SC3_0.12,SC3.SC3_0.125,SC3.SC3_0.13,SC3.SC3_0.135,SC3.SC3_0.14,SC3.SC3_0.145,SC3.SC3_0.15,UMAP_KMEANS.UMAP_KMEANS_0,UMAP_KMEANS.UMAP_KMEANS_0.005,UMAP_KMEANS.UMAP_KMEANS_0.01,UMAP_KMEANS.UMAP_KMEANS_0.015,UMAP_KMEANS.UMAP_KMEANS_0.02,UMAP_KMEANS.UMAP_KMEANS_0.025,UMAP_KMEANS.UMAP_KMEANS_0.03,UMAP_KMEANS.UMAP_KMEANS_0.035,UMAP_KMEANS.UMAP_KMEANS_0.04,UMAP_KMEANS.UMAP_KMEANS_0.045,UMAP_KMEANS.UMAP_KMEANS_0.05,UMAP_KMEANS.UMAP_KMEANS_0.055,UMAP_KMEANS.UMAP_KMEANS_0.06,UMAP_KMEANS.UMAP_KMEANS_0.065,UMAP_KMEANS.UMAP_KMEANS_0.07,UMAP_KMEANS.UMAP_KMEANS_0.075,UMAP_KMEANS.UMAP_KMEANS_0.08,UMAP_KMEANS.UMAP_KMEANS_0.085,UMAP_KMEANS.UMAP_KMEANS_0.09,UMAP_KMEANS.UMAP_KMEANS_0.095,UMAP_KMEANS.UMAP_KMEANS_0.1,UMAP_KMEANS.UMAP_KMEANS_0.105,UMAP_KMEANS.UMAP_KMEANS_0.11,UMAP_KMEANS.UMAP_KMEANS_0.115,UMAP_KMEANS.UMAP_KMEANS_0.12,UMAP_KMEANS.UMAP_KMEANS_0.125,UMAP_KMEANS.UMAP_KMEANS_0.13,UMAP_KMEANS.UMAP_KMEANS_0.135,UMAP_KMEANS.UMAP_KMEANS_0.14,UMAP_KMEANS.UMAP_KMEANS_0.145,UMAP_KMEANS.UMAP_KMEANS_0.15,TSNE_KMEANS.TSNE_KMEANS_0,TSNE_KMEANS.TSNE_KMEANS_0.005,TSNE_KMEANS.TSNE_KMEANS_0.01,TSNE_KMEANS.TSNE_KMEANS_0.015,TSNE_KMEANS.TSNE_KMEANS_0.02,TSNE_KMEANS.TSNE_KMEANS_0.025,TSNE_KMEANS.TSNE_KMEANS_0.03,TSNE_KMEANS.TSNE_KMEANS_0.035,TSNE_KMEANS.TSNE_KMEANS_0.04,TSNE_KMEANS.TSNE_KMEANS_0.045,TSNE_KMEANS.TSNE_KMEANS_0.05,TSNE_KMEANS.TSNE_KMEANS_0.055,TSNE_KMEANS.TSNE_KMEANS_0.06,TSNE_KMEANS.TSNE_KMEANS_0.065,TSNE_KMEANS.TSNE_KMEANS_0.07,TSNE_KMEANS.TSNE_KMEANS_0.075,TSNE_KMEANS.TSNE_KMEANS_0.08,TSNE_KMEANS.TSNE_KMEANS_0.085,TSNE_KMEANS.TSNE_KMEANS_0.09,TSNE_KMEANS.TSNE_KMEANS_0.095,TSNE_KMEANS.TSNE_KMEANS_0.1,TSNE_KMEANS.TSNE_KMEANS_0.105,TSNE_KMEANS.TSNE_KMEANS_0.11,TSNE_KMEANS.TSNE_KMEANS_0.115,TSNE_KMEANS.TSNE_KMEANS_0.12,TSNE_KMEANS.TSNE_KMEANS_0.125,TSNE_KMEANS.TSNE_KMEANS_0.13,TSNE_KMEANS.TSNE_KMEANS_0.135,TSNE_KMEANS.TSNE_KMEANS_0.14,TSNE_KMEANS.TSNE_KMEANS_0.145,TSNE_KMEANS.TSNE_KMEANS_0.15,cells
11,11,9,9,9,9,9,9,9,9,9,9,9,8,6,5,5,5,5,4,2,2,2,2,2,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,21,19,19,19,19,19,19,19,19,19,19,18,16,15,15,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4889
14,14,11,11,11,11,11,11,11,11,11,11,11,10,7,6,6,6,6,5,3,3,3,3,3,1,1,1,1,1,1,28,21,19,18,18,18,18,18,18,18,18,17,16,15,14,14,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell489
10,10,8,8,8,8,8,8,8,8,8,8,8,7,5,4,4,4,4,3,3,3,3,3,3,1,1,1,1,1,1,40,28,26,25,25,25,25,25,25,25,25,23,21,20,19,19,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4890
24,24,20,20,20,20,20,20,20,20,20,20,20,18,12,11,11,11,11,2,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4891
10,10,8,8,8,8,8,8,8,8,8,8,8,7,5,4,4,4,4,3,3,3,3,3,3,1,1,1,1,1,1,40,28,26,25,25,25,25,25,25,25,25,23,21,20,19,19,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4892
9,9,7,7,7,7,7,7,7,7,7,7,7,6,4,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,25,18,17,16,16,16,16,16,16,16,16,15,14,13,12,12,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,11,11,11,11,11,11,11,11,11,11,11,11,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4893
19,19,16,16,16,16,16,16,16,16,16,16,16,14,9,8,8,8,8,7,3,3,3,3,3,1,1,1,1,1,1,9,8,8,8,8,8,8,8,8,8,8,8,7,7,6,6,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,17,12,12,12,12,12,12,12,12,12,12,5,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4894
33,33,29,29,29,29,29,29,29,29,29,13,13,11,12,11,11,11,11,2,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,27,25,25,25,25,25,25,25,25,25,25,23,19,18,15,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4895
29,29,25,25,25,25,25,25,25,25,25,25,25,22,2,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,31,23,21,20,20,20,20,20,20,20,20,19,17,16,15,15,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,27,25,25,25,25,25,25,25,25,25,25,23,19,18,15,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4896
28,28,24,24,24,24,24,24,24,24,24,24,24,21,15,14,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,34,25,23,22,22,22,22,22,22,22,22,21,19,18,17,17,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4897
8,8,6,6,6,6,6,6,6,6,6,6,6,5,2,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,10,9,11,11,11,11,11,11,11,11,11,11,10,9,8,8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,18,17,17,17,17,17,17,17,17,17,17,16,14,14,14,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4898
8,8,6,6,6,6,6,6,6,6,6,6,6,5,2,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,10,9,11,11,11,11,11,11,11,11,11,11,10,9,8,8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,18,17,17,17,17,17,17,17,17,17,17,16,14,14,14,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4899
30,30,26,26,26,26,26,26,26,26,26,26,26,23,12,11,11,11,11,2,1,1,1,1,1,1,1,1,1,1,1,34,25,23,22,22,22,22,22,22,22,22,21,19,18,17,17,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,22,20,20,20,20,20,20,20,20,20,20,19,8,8,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell49
16,16,13,13,13,13,13,13,13,13,13,13,13,11,12,11,11,11,11,2,1,1,1,1,1,1,1,1,1,1,1,20,15,14,13,13,13,13,13,13,13,13,13,12,11,10,10,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,13,13,13,13,13,13,13,13,13,13,13,12,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell490
34,34,30,30,30,30,30,30,30,30,30,29,28,25,17,16,15,15,15,13,3,3,3,3,3,1,1,1,1,1,1,29,22,20,19,19,19,19,19,19,19,19,18,10,9,8,8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,14,14,14,14,14,14,14,14,14,14,14,13,11,11,11,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4900
19,19,16,16,16,16,16,16,16,16,16,16,16,14,9,8,8,8,8,7,3,3,3,3,3,1,1,1,1,1,1,9,8,8,8,8,8,8,8,8,8,8,8,7,7,6,6,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,12,12,12,12,12,12,12,12,12,12,12,5,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4901
22,22,19,19,19,19,19,19,19,19,19,19,19,17,12,11,11,11,11,2,1,1,1,1,1,1,1,1,1,1,1,36,26,24,23,23,23,23,23,23,23,23,22,20,19,18,18,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,14,14,14,14,14,14,14,14,14,14,14,13,11,11,11,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4902
29,29,25,25,25,25,25,25,25,25,25,25,25,22,2,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,31,23,21,20,20,20,20,20,20,20,20,19,17,16,15,15,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,27,25,25,25,25,25,25,25,25,25,25,23,19,18,15,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4903
8,8,6,6,6,6,6,6,6,6,6,6,6,5,2,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,39,9,11,11,11,11,11,11,11,11,11,11,10,9,8,8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,18,17,17,17,17,17,17,17,17,17,17,16,14,14,14,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4904
31,31,27,27,27,27,27,27,27,27,27,27,12,13,8,7,7,7,7,6,3,3,3,3,3,1,1,1,1,1,1,21,16,15,14,14,14,14,14,14,14,14,13,12,11,10,10,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,24,22,22,22,22,22,22,22,22,22,22,21,18,17,17,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4905
8,8,6,6,6,6,6,6,6,6,6,6,6,5,2,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,39,9,11,11,11,11,11,11,11,11,11,11,10,9,8,8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,18,17,17,17,17,17,17,17,17,17,17,16,14,14,14,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4906
34,34,30,30,30,30,30,30,30,30,30,29,28,25,17,16,15,15,15,13,3,3,3,3,3,1,1,1,1,1,1,29,22,20,19,19,19,19,19,19,19,19,18,10,9,8,8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,14,14,14,14,14,14,14,14,14,14,14,13,11,11,11,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4907
18,18,15,15,15,15,15,15,15,15,15,15,15,13,8,7,7,7,7,6,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4908
26,26,22,22,22,22,22,22,22,22,22,22,22,19,13,12,12,12,12,10,5,5,5,5,5,1,1,1,1,1,1,13,11,10,10,10,10,10,10,10,10,10,10,9,8,7,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4909
29,29,25,25,25,25,25,25,25,25,25,25,25,22,2,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,31,23,21,20,20,20,20,20,20,20,20,19,17,16,15,15,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,27,25,25,25,25,25,25,25,25,25,25,23,19,18,15,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell491
26,26,22,22,22,22,22,22,22,22,22,22,22,19,13,12,12,12,12,10,5,5,5,5,5,1,1,1,1,1,1,13,11,10,10,10,10,10,10,10,10,10,10,9,8,7,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4910
8,8,6,6,6,6,6,6,6,6,6,6,6,5,2,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,39,9,11,11,11,11,11,11,11,11,11,11,10,9,8,8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,18,17,17,17,17,17,17,17,17,17,17,16,14,14,14,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4911
20,20,17,17,17,17,17,17,17,17,17,17,17,15,10,9,9,9,9,8,4,4,4,4,4,1,1,1,1,1,1,32,24,22,21,21,21,21,21,21,21,21,20,18,17,16,16,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,21,19,19,19,19,19,19,19,19,19,19,18,16,15,15,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4912
9,9,7,7,7,7,7,7,7,7,7,7,7,6,4,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,25,18,17,16,16,16,16,16,16,16,16,15,14,13,12,12,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,11,11,11,11,11,11,11,11,11,11,11,11,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4913
18,18,15,15,15,15,15,15,15,15,15,15,15,13,8,7,7,7,7,6,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4914
3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,19,14,13,12,12,12,12,12,12,12,12,12,11,10,9,9,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4915
30,30,26,26,26,26,26,26,26,26,26,26,26,23,12,11,11,11,11,2,1,1,1,1,1,1,1,1,1,1,1,34,25,23,22,22,22,22,22,22,22,22,21,19,18,17,17,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,22,20,20,20,20,20,20,20,20,20,20,19,8,8,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4916
13,13,10,10,10,10,10,10,10,10,10,10,10,9,2,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,12,10,9,9,9,9,9,9,9,9,9,9,8,7,6,6,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,25,23,23,23,23,23,23,23,23,23,23,22,18,17,17,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4917
21,21,18,18,18,18,18,18,18,18,18,18,18,16,11,10,10,10,10,9,3,3,3,3,3,1,1,1,1,1,1,9,8,8,8,8,8,8,8,8,8,8,8,7,7,6,6,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,24,22,22,22,22,22,22,22,22,22,22,21,18,17,17,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4918
29,29,25,25,25,25,25,25,25,25,25,25,25,22,2,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,31,23,21,20,20,20,20,20,20,20,20,19,17,16,15,15,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,27,25,25,25,25,25,25,25,25,25,25,23,19,18,15,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4919
11,11,9,9,9,9,9,9,9,9,9,9,9,8,6,5,5,5,5,4,2,2,2,2,2,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,21,19,19,19,19,19,19,19,19,19,19,18,16,15,15,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell492
7,7,5,5,5,5,5,5,5,5,5,5,5,4,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,8,7,7,7,7,7,7,7,7,7,7,7,6,6,5,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,10,10,10,10,10,10,10,10,10,10,10,10,8,8,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4920
34,34,30,30,30,30,30,30,30,30,30,29,28,25,17,16,15,15,15,13,3,3,3,3,3,1,1,1,1,1,1,35,20,20,19,19,19,19,19,19,19,19,18,10,9,8,8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,14,14,14,14,14,14,14,14,14,14,14,13,11,11,11,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4921
19,19,16,16,16,16,16,16,16,16,16,16,16,14,9,8,8,8,8,7,3,3,3,3,3,1,1,1,1,1,1,9,8,8,8,8,8,8,8,8,8,8,8,7,7,6,6,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,12,12,12,12,12,12,12,12,12,12,12,5,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4922
10,10,8,8,8,8,8,8,8,8,8,8,8,7,5,4,4,4,4,3,3,3,3,3,3,1,1,1,1,1,1,40,28,26,25,25,25,25,25,25,25,25,23,21,20,19,19,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4923
9,9,7,7,7,7,7,7,7,7,7,7,7,6,4,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,25,18,17,16,16,16,16,16,16,16,16,15,14,13,12,12,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,11,11,11,11,11,11,11,11,11,11,11,11,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4924
21,21,18,18,18,18,18,18,18,18,18,18,18,16,11,10,10,10,10,9,3,3,3,3,3,1,1,1,1,1,1,9,8,8,8,8,8,8,8,8,8,8,8,7,7,6,6,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,24,22,22,22,22,22,22,22,22,22,22,21,18,17,17,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4925
2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,4,4,4,4,3,3,3,3,3,3,1,1,1,1,1,1,30,4,4,4,4,4,4,4,4,4,4,4,4,4,19,19,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,19,18,18,18,18,18,18,18,18,18,18,17,15,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4926
13,13,10,10,10,10,10,10,10,10,10,10,10,9,2,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,12,10,9,9,9,9,9,9,9,9,9,9,8,7,6,6,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,25,23,23,23,23,23,23,23,23,23,23,22,18,17,17,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4927
18,18,15,15,15,15,15,15,15,15,15,15,15,13,8,7,7,7,7,6,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4928
7,7,5,5,5,5,5,5,5,5,5,5,5,4,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,8,7,7,7,7,7,7,7,7,7,7,7,6,6,5,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,10,10,10,10,10,10,10,10,10,10,10,10,8,8,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4929
31,31,27,27,27,27,27,27,27,27,27,27,12,13,8,7,7,7,7,6,3,3,3,3,3,1,1,1,1,1,1,21,16,15,14,14,14,14,14,14,14,14,13,12,11,10,10,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,24,22,22,22,22,22,22,22,22,22,22,21,18,17,17,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell493
8,8,6,6,6,6,6,6,6,6,6,6,6,5,2,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,10,9,11,11,11,11,11,11,11,11,11,11,10,9,8,8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,18,17,17,17,17,17,17,17,17,17,17,16,14,14,14,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4930
16,16,13,13,13,13,13,13,13,13,13,13,13,11,12,11,11,11,11,2,1,1,1,1,1,1,1,1,1,1,1,38,15,14,13,13,13,13,13,13,13,13,13,12,11,10,10,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,13,13,13,13,13,13,13,13,13,13,13,12,10,10,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4931
17,17,14,14,14,14,14,14,14,14,14,14,14,12,2,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,7,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,20,16,16,16,16,16,16,16,16,16,16,15,13,13,13,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4932
18,18,15,15,15,15,15,15,15,15,15,15,15,13,8,7,7,7,7,6,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4933
8,8,6,6,6,6,6,6,6,6,6,6,6,5,2,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,39,9,11,11,11,11,11,11,11,11,11,11,10,9,8,8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,18,17,17,17,17,17,17,17,17,17,17,16,14,14,14,12,12,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4934
20,20,17,17,17,17,17,17,17,17,17,17,17,15,10,9,9,9,9,8,4,4,4,4,4,1,1,1,1,1,1,32,24,22,21,21,21,21,21,21,21,21,20,18,17,16,16,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,21,19,19,19,19,19,19,19,19,19,19,18,16,15,15,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4935
13,13,10,10,10,10,10,10,10,10,10,10,10,9,2,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,12,10,9,9,9,9,9,9,9,9,9,9,8,7,6,6,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,25,23,23,23,23,23,23,23,23,23,23,22,18,17,17,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4936
33,33,29,29,29,29,29,29,29,29,29,13,13,11,12,11,11,11,11,2,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,27,25,25,25,25,25,25,25,25,25,25,23,19,18,15,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4937
9,9,7,7,7,7,7,7,7,7,7,7,7,6,4,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,25,18,17,16,16,16,16,16,16,16,16,15,14,13,12,12,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,11,11,11,11,11,11,11,11,11,11,11,11,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4938
13,13,10,10,10,10,10,10,10,10,10,10,10,9,2,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,12,10,9,9,9,9,9,9,9,9,9,9,8,7,6,6,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,25,23,23,23,23,23,23,23,23,23,23,22,18,17,17,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4939
9,9,7,7,7,7,7,7,7,7,7,7,7,6,4,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,25,18,17,16,16,16,16,16,16,16,16,15,14,13,12,12,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,11,11,11,11,11,11,11,11,11,11,11,11,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell494
30,30,26,26,26,26,26,26,26,26,26,26,26,23,12,11,11,11,11,2,1,1,1,1,1,1,1,1,1,1,1,34,25,23,22,22,22,22,22,22,22,22,21,19,18,17,17,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,22,20,20,20,20,20,20,20,20,20,20,19,8,8,8,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4940
26,26,22,22,22,22,22,22,22,22,22,22,22,19,13,12,12,12,12,10,5,5,5,5,5,1,1,1,1,1,1,13,11,10,10,10,10,10,10,10,10,10,10,9,8,7,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4941
2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,4,4,4,4,3,3,3,3,3,3,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,19,19,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,19,18,18,18,18,18,18,18,18,18,18,17,15,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4942
2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,4,4,4,4,3,3,3,3,3,3,1,1,1,1,1,1,15,13,12,4,4,4,4,4,4,4,4,4,4,4,19,19,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,19,18,18,18,18,18,18,18,18,18,18,17,15,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,Cell4943
